지역구분,작목군,작목,구분,값
강원,과수,토종다래,주산물가액,5401769.0
강원,과수,토종다래,부산물가액,140523.0
강원,과수,토종다래,주산물수량,588.0
강원,과수,토종다래,수취가격,9187.0
강원,과수,토종다래,과수원조성비,851475.0
강원,과수,토종다래,보통(무기질)비료비,44419.0
강원,과수,토종다래,부산물(유기질)비료비,170165.0
강원,과수,토종다래,농약비,123871.0
강원,과수,토종다래,수도광열비,81735.0
강원,과수,토종다래,기타재료비,175842.0
강원,과수,토종다래,소농구비,23032.0
강원,과수,토종다래,대농구상각비,125861.0
강원,과수,토종다래,영농시설상각비,687298.0
강원,과수,토종다래,수리·유지비,21252.0
강원,과수,토종다래,기타비용,13285.0
강원,과수,토종다래,중간재비,2318235.0
강원,과수,토종다래,농기계·시설임차료,7190.0
강원,과수,토종다래,토지임차료,33846.0
강원,과수,토종다래,위탁영농비,0.0
강원,과수,토종다래,고용노동비,632089.0
강원,과수,토종다래,경영비,2991360.0
강원,과수,토종다래,자가노동비,3728372.0
강원,과수,토종다래,유동자본용역비,55609.0
강원,과수,토종다래,고정자본용역비,157071.0
강원,과수,토종다래,토지자본용역비,332602.0
강원,과수,토종다래,생산비,7265014.0
강원,과수,토종다래,자가노동시간,184.0
강원,과수,토종다래,고용노동시간,43.0
강원,과수,토종다래,총노동시간,227.0
강원,과수,토종다래,소득,2550932.0
강원,과수,토종다래,소득률,46.0
강원,과수,토종다래,순수익,-1722722.0
강원,과수,토종다래,순수익율,-31.1
강원,과수,토종다래,부가가치,3224057.0
강원,과수,토종다래,부가가치율,58.2
강원,과수,토종다래,토지생산성,8503.0
강원,과수,토종다래,노동생산성,11238.0
강원,과수,토종다래,자본생산성,0.85
강원,과수,토종다래,kg당 경영비,5087.0
강원,과수,토종다래,kg당 생산비,12355.0
강원,노지채소,노지가을무,총수입,2705806.0
강원,노지채소,노지가을무,주산물가액,2621996.0
강원,노지채소,노지가을무,부산물가액,83810.0
강원,노지채소,노지가을무,주산물수량,3248.0
강원,노지채소,노지가을무,수취가격,807.0
강원,노지채소,노지가을무,종자·종묘비,47574.0
강원,노지채소,노지가을무,보통(무기질)비료비,59888.0
강원,노지채소,노지가을무,부산물(유기질)비료비,124522.0
강원,노지채소,노지가을무,농약비,63578.0
강원,노지채소,노지가을무,수도광열비,37367.0
강원,노지채소,노지가을무,기타재료비,42969.0
강원,노지채소,노지가을무,소농구비,265.0
강원,노지채소,노지가을무,대농구상각비,222349.0
강원,노지채소,노지가을무,영농시설상각비,26115.0
강원,노지채소,노지가을무,수리·유지비,3281.0
강원,노지채소,노지가을무,기타비용,893.0
강원,노지채소,노지가을무,중간재비,628801.0
강원,노지채소,노지가을무,농기계·시설임차료,2155.0
강원,노지채소,노지가을무,토지임차료,36778.0
강원,노지채소,노지가을무,위탁영농비,8950.0
강원,노지채소,노지가을무,고용노동비,102334.0
강원,노지채소,노지가을무,경영비,779018.0
강원,노지채소,노지가을무,자가노동비,1208095.0
강원,노지채소,노지가을무,유동자본용역비,4272.0
강원,노지채소,노지가을무,고정자본용역비,40341.0
강원,노지채소,노지가을무,토지자본용역비,89030.0
강원,노지채소,노지가을무,생산비,2120756.0
강원,노지채소,노지가을무,자가노동시간,59.0
강원,노지채소,노지가을무,고용노동시간,8.0
강원,노지채소,노지가을무,총노동시간,67.0
강원,노지채소,노지가을무,소득,1926788.0
강원,노지채소,노지가을무,소득률,71.2
강원,노지채소,노지가을무,순수익,585050.0
강원,노지채소,노지가을무,순수익율,21.6
강원,노지채소,노지가을무,부가가치,2077005.0
강원,노지채소,노지가을무,부가가치율,76.8
강원,노지채소,노지가을무,토지생산성,6423.0
강원,노지채소,노지가을무,노동생산성,28758.0
강원,노지채소,노지가을무,자본생산성,2.47
강원,노지채소,노지가을무,kg당 경영비,240.0
강원,노지채소,노지가을무,kg당 생산비,653.0
강원,노지채소,노지가을배추,총수입,2390594.0
강원,노지채소,노지가을배추,주산물가액,2390594.0
강원,노지채소,노지가을배추,주산물수량,5805.0
강원,노지채소,노지가을배추,수취가격,412.0
강원,노지채소,노지가을배추,종자·종묘비,122377.0
강원,노지채소,노지가을배추,보통(무기질)비료비,130817.0
강원,노지채소,노지가을배추,부산물(유기질)비료비,95050.0
강원,노지채소,노지가을배추,농약비,115374.0
강원,노지채소,노지가을배추,수도광열비,32007.0
강원,노지채소,노지가을배추,기타재료비,73889.0
강원,노지채소,노지가을배추,소농구비,990.0
강원,노지채소,노지가을배추,대농구상각비,177133.0
강원,노지채소,노지가을배추,영농시설상각비,13346.0
강원,노지채소,노지가을배추,수리·유지비,15925.0
강원,노지채소,노지가을배추,기타비용,2969.0
강원,노지채소,노지가을배추,중간재비,779877.0
강원,노지채소,노지가을배추,농기계·시설임차료,3957.0
강원,노지채소,노지가을배추,토지임차료,62587.0
강원,노지채소,노지가을배추,위탁영농비,31866.0
강원,노지채소,노지가을배추,고용노동비,294583.0
강원,노지채소,노지가을배추,경영비,1172870.0
강원,노지채소,노지가을배추,자가노동비,593722.0
강원,노지채소,노지가을배추,유동자본용역비,8763.0
강원,노지채소,노지가을배추,고정자본용역비,35449.0
강원,노지채소,노지가을배추,토지자본용역비,75928.0
강원,노지채소,노지가을배추,생산비,1886732.0
강원,노지채소,노지가을배추,자가노동시간,29.0
강원,노지채소,노지가을배추,고용노동시간,20.0
강원,노지채소,노지가을배추,총노동시간,49.0
강원,노지채소,노지가을배추,소득,1217724.0
강원,노지채소,노지가을배추,소득률,50.9
강원,노지채소,노지가을배추,순수익,503862.0
강원,노지채소,노지가을배추,순수익율,21.1
강원,노지채소,노지가을배추,부가가치,1610717.0
강원,노지채소,노지가을배추,부가가치율,67.4
강원,노지채소,노지가을배추,토지생산성,4059.0
강원,노지채소,노지가을배추,노동생산성,24852.0
강원,노지채소,노지가을배추,자본생산성,1.04
강원,노지채소,노지가을배추,kg당 경영비,202.0
강원,노지채소,노지가을배추,kg당 생산비,325.0
강원,노지채소,노지고랭지무,총수입,2987510.0
강원,노지채소,노지고랭지무,주산물가액,2987510.0
강원,노지채소,노지고랭지무,주산물수량,7249.0
강원,노지채소,노지고랭지무,수취가격,412.0
강원,노지채소,노지고랭지무,종자·종묘비,126524.0
강원,노지채소,노지고랭지무,보통(무기질)비료비,98426.0
강원,노지채소,노지고랭지무,부산물(유기질)비료비,157475.0
강원,노지채소,노지고랭지무,농약비,186780.0
강원,노지채소,노지고랭지무,수도광열비,34173.0
강원,노지채소,노지고랭지무,기타재료비,118432.0
강원,노지채소,노지고랭지무,소농구비,235.0
강원,노지채소,노지고랭지무,대농구상각비,170011.0
강원,노지채소,노지고랭지무,영농시설상각비,18454.0
강원,노지채소,노지고랭지무,수리·유지비,5243.0
