지역구분,년,작목군,작목,구분,값
강원,2020,과수,오미자,영농시설상각비,168797.0
강원,2020,과수,오미자,수리·유지비,4851.0
강원,2020,과수,오미자,과수원조성비,419356.0
강원,2020,과수,오미자,기타비용,3566.0
강원,2020,과수,오미자,농기계·시설임차료,4426.0
강원,2020,과수,오미자,토지임차료,95374.0
강원,2020,과수,오미자,위탁영농비,21913.0
강원,2020,과수,오미자,고용노동비,307871.0
강원,2020,과수,오미자,자가노동비,3216331.0
강원,2020,과수,오미자,유동자본용역비,37523.0
강원,2020,과수,오미자,고정자본용역비,80740.0
강원,2020,과수,오미자,토지자본용역비,256692.0
강원,2020,과수,오미자,부가가치,2938406.0
강원,2020,과수,오미자,소득,2508822.0
강원,2020,과수,오미자,고용노동단가(남),13958.0
강원,2020,과수,오미자,고용노동단가(여),10694.0
강원,2020,과수,오미자,자가노동단가(남),19548.0
강원,2020,과수,오미자,자가노동단가(여),19548.0
강원,2020,과수,오미자,총노동시간,193.8
강원,2020,과수,오미자,자가노동시간,164.5
강원,2020,과수,오미자,자가노동시간(남),88.2
강원,2020,과수,오미자,자가노동시간(여),76.3
강원,2020,과수,오미자,고용노동시간,29.3
강원,2020,과수,오미자,고용노동시간(남),3.5
강원,2020,과수,오미자,고용노동시간(여),25.8
강원,2020,과수,오미자,소득률,58.4
강원,2020,과수,오미자,순수익,-1082463.0
강원,2020,과수,오미자,순수익율,-25.2
강원,2020,과수,오미자,부가가치율,68.4
강원,2020,과수,오미자,토지생산성,8363.0
강원,2020,과수,오미자,노동생산성,12945.0
강원,2020,과수,오미자,자본생산성,1.4
강원,2020,과수,오미자,kg당 경영비,3609.0
강원,2020,과수,오미자,kg당 생산비,10849.0
강원,2020,과수,토종다래,총수입,5057571.0
강원,2020,과수,토종다래,주산물가액,5056862.0
강원,2020,과수,토종다래,부산물가액,709.0
강원,2020,과수,토종다래,주산물수량,532.0
강원,2020,과수,토종다래,수취가격,9511.0
강원,2020,과수,토종다래,생산비,7293928.0
강원,2020,과수,토종다래,경영비,3189291.0
강원,2020,과수,토종다래,중간재비,2520015.0
강원,2020,과수,토종다래,보통(무기질)비료비,44500.0
강원,2020,과수,토종다래,부산물(유기질)비료비,162787.0
강원,2020,과수,토종다래,농약비,142865.0
강원,2020,과수,토종다래,수도광열비,79656.0
강원,2020,과수,토종다래,기타재료비,164593.0
강원,2020,과수,토종다래,소농구비,34414.0
강원,2020,과수,토종다래,대농구상각비,119477.0
강원,2020,과수,토종다래,영농시설상각비,613957.0
강원,2020,과수,토종다래,수리·유지비,6435.0
강원,2020,과수,토종다래,과수원조성비,1135919.0
강원,2020,과수,토종다래,기타비용,15412.0
강원,2020,과수,토종다래,농기계·시설임차료,8966.0
강원,2020,과수,토종다래,토지임차료,33846.0
강원,2020,과수,토종다래,위탁영농비,0.0
강원,2020,과수,토종다래,고용노동비,626464.0
강원,2020,과수,토종다래,자가노동비,3489594.0
강원,2020,과수,토종다래,유동자본용역비,61396.0
강원,2020,과수,토종다래,고정자본용역비,206548.0
